Title,Title,Year,Budget (Adjusted for Inflation),Revenue
149,Hachi: A Dog's Tale,2009,21825978,47801389
151,The Maltese Falcon,1941,7465688,1000000
152,Butch Cassidy and the Sundance Kid,1969,47845504,102308889
154,Spotlight,2015,24694853,88346473
156,The Best Years of Our Lives,1946,31516692,23650000
158,12 Years a Slave,2013,25125237,187000000
159,The Grand Budapest Hotel,2014,37086247,174600318
160,Mad Max: Fury Road,2015,185211398,378858340
161,The Princess Bride,1987,41219014,30857814
163,Million Dollar Baby,2004,46477766,216763646
164,Jurassic Park,1993,127593529,920100000
165,Touch of Evil,1958,8394844,2247465
167,Before Sunrise,1995,4800770,5535405
168,The Truman Show,1998,107725766,264118201
169,Harry Potter and the Deathly Hallows: Part 2,2011,162630201,1342000000
170,Star Wars: The Force Awakens,2015,302511950,2068223624
171,"Paris, Texas",1984,4920671,2181987
172,The Last Picture Show,1971,9393864,29133000
173,Gandhi,1982,66719274,77737889
174,Barry Lyndon,1975,59836524,20000000
175,Rocky,1976,5143321,117235147
176,Annie Hall,1977,19317161,38251425
177,Prisoners,2013,57788046,122126687
178,Donnie Darko,2001,9914906,1270522
179,Catch Me If You Can,2002,84591773,352114312
180,The Man Who Shot Liberty Valance,1962,31009801,8000000
181,Laura,1944,16960687,2000000
182,"Monsters, Inc.",2001,190035714,562816256
183,The Bourne Ultimatum,2007,98802220,442824138
184,Cat on a Hot Tin Roof,1958,30379411,17570324
185,The Wizard of Oz,1939,58467837,33754967
187,Roman Holiday,1953,16441292,12000000
190,Who's Afraid of Virginia Woolf?,1966,67744212,33736689
191,The Terminator,1984,18026871,78371200
192,Groundhog Day,1993,29569294,70906973
193,The Help,2011,32526040,124272124
194,Strangers on a Train,1951,13507153,7000000
197,Beauty and the Beast,1991,343794419,1262886337
198,Lion,2016,14632323,140302754
199,Twelve Monkeys,1995,56649097,168840000
200,Guardians of the Galaxy,2014,210155405,773328629
201,Dog Day Afternoon,1975,9791431,46665856
202,Jaws,1975,38077788,470654000
203,Zootopia,2016,182904040,1023784195
204,Guardians of the Galaxy Vol. 2,2017,238785084,863416141
205,Pirates of the Caribbean: The Curse of the Black Pearl,2003,222672282,655011224
206,Before Sunset,2004,4182998,15992615
207,The Imitation Game,2014,17306915,233555708
208,Young Frankenstein,1974,16621379,86273333
210,Dogville,2003,15905163,16680836
211,Dead Poets Society,1989,38705983,235860116
212,High Noon,1952,8061816,8000000
213,Papillon,1973,79095945,53267000
214,A Streetcar Named Desire,1951,20260730,8000000
216,Sin City,2005,59939580,158733820
217,The Hustler,1961,19575585,7600000
220,The Avengers,2012,280425882,1519557910
221,Notorious,1946,30015897,24464742
223,The Martian,2015,133352206,630161890
224,The Exorcist,1973,52730630,441306145
227,Rope,1948,18215041,2200000
229,Pink Floyd: The Wall,1982,36392331,22244207
230,The King's Speech,2010,20131640,414211549
232,The Graduate,1967,26286377,104945305
233,JFK,1991,85948604,205405498
234,Sling Blade,1996,1865232,24444121
235,Blood Diamond,2006,145166170,170877916
236,Magnolia,1999,64995408,48451803
237,Rain Man,1988,61845942,412800000
238,The Revenant,2015,166690258,532950503
239,The Nightmare Before Christmas,1993,36455294,75634409
241,Deadpool,2016,70722895,783112979
242,The Wild Bunch,1969,49791915,638641
243,Aladdin,1992,58405844,504050219
244,Big Fish,2003,111336141,122919055
245,Patton,1970,90511855,89800000
246,The Lost Weekend,1945,20323263,11000000
250,Slumdog Millionaire,2008,20389056,377910544
